MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage
3/9/2018 16:52:37,4,1,2,4.16
3/9/2018 17:00:25,4,2,2,4.16
3/9/2018 17:11:13,4,3,1,4.15
3/9/2018 17:11:34,4,4,1,4.16
3/9/2018 17:18:54,4,5,2,4.16
3/9/2018 18:40:44,4,6,1,4.15
3/9/2018 18:41:35,4,7,1,4.15
3/9/2018 18:43:02,4,8,3,4.15
3/9/2018 18:43:52,4,9,1,4.14
3/9/2018 18:45:25,4,10,1,4.16
3/9/2018 18:52:11,4,11,1,4.15
3/9/2018 18:52:43,4,12,2,4.15
3/9/2018 19:29:49,4,13,3,4.15
3/9/2018 19:30:26,4,14,3,4.15
3/9/2018 19:33:41,4,15,2,4.15
3/9/2018 19:36:49,4,16,1,4.14
3/9/2018 19:37:43,4,17,3,4.15
3/9/2018 19:38:08,4,18,1,4.15
3/9/2018 19:40:34,4,19,3,4.15
3/9/2018 19:40:54,4,20,1,4.15
3/9/2018 19:42:15,4,21,2,4.14
3/9/2018 20:01:53,4,22,4,4.15
3/9/2018 20:02:32,4,23,5,4.15
3/9/2018 20:03:06,4,24,4,4.15
3/9/2018 20:04:16,4,25,1,4.15
3/9/2018 20:16:18,4,26,3,4.14
3/9/2018 20:16:50,4,27,2,4.15
3/9/2018 21:05:27,4,28,3,4.14
3/9/2018 21:05:52,4,29,2,4.15
3/9/2018 21:06:21,4,30,3,4.14
3/9/2018 21:07:01,4,31,3,4.14
3/9/2018 21:07:33,4,32,2,4.14
3/9/2018 21:08:08,4,33,1,4.14
3/9/2018 21:08:27,4,34,1,4.14
3/9/2018 21:11:10,4,35,3,4.14
3/9/2018 21:17:05,4,36,1,4.14
3/9/2018 21:17:30,4,37,2,4.15
3/9/2018 21:21:12,4,38,2,4.14
3/9/2018 21:21:42,4,39,2,4.14
3/9/2018 21:36:45,4,40,3,4.14
3/9/2018 21:37:12,4,41,1,4.14
3/9/2018 21:37:34,4,42,2,4.14
3/9/2018 22:40:05,4,43,4,4.14
3/9/2018 22:40:32,4,44,2,4.14
3/9/2018 22:41:09,4,45,2,4.14
3/9/2018 22:41:33,4,46,1,4.14
3/9/2018 22:42:13,4,47,1,4.14
3/9/2018 22:46:35,4,48,3,4.14
3/9/2018 22:47:19,4,49,1,4.14
3/9/2018 22:47:47,4,50,1,4.14
3/9/2018 22:51:39,4,51,1,4.14
3/9/2018 22:52:02,4,52,2,4.14
3/9/2018 23:43:04,4,53,1,4.14
3/9/2018 23:43:31,4,54,3,4.14
3/9/2018 23:44:00,4,55,3,4.14
3/9/2018 23:44:28,4,56,1,4.14
3/9/2018 23:44:52,4,57,2,4.14
3/9/2018 23:45:38,4,58,2,4.14
3/9/2018 23:46:15,4,59,4,4.14
3/10/2018 0:29:18,4,60,3,4.14
3/10/2018 0:29:56,4,61,2,4.14
3/10/2018 0:30:21,4,62,1,4.14
3/10/2018 0:31:36,4,63,3,4.14
3/10/2018 1:15:35,4,64,4,4.14
3/10/2018 1:16:12,4,65,3,4.14
3/10/2018 1:16:48,4,66,4,4.14
3/10/2018 1:17:53,4,67,1,4.13
3/10/2018 1:18:34,4,68,2,4.13
3/10/2018 1:19:31,4,69,1,4.14
3/10/2018 1:19:50,4,70,1,4.14
3/10/2018 1:21:31,4,71,2,4.14
3/10/2018 1:29:21,4,72,3,4.13
3/10/2018 1:29:44,4,73,1,4.14
3/10/2018 1:30:09,4,74,1,4.14
3/10/2018 1:33:34,4,75,1,4.14
3/10/2018 1:34:02,4,76,2,4.14
3/10/2018 2:40:55,4,77,20,4.13
3/10/2018 2:41:24,4,78,4,4.13
3/10/2018 2:41:54,4,79,3,4.13
3/10/2018 3:30:29,4,80,10,4.13
3/10/2018 3:31:24,4,81,4,4.13
3/10/2018 3:31:57,4,82,3,4.13
3/10/2018 3:32:45,4,83,7,4.13
3/10/2018 3:33:05,4,84,1,4.13
3/10/2018 3:33:30,4,85,2,4.13
3/10/2018 4:12:31,4,86,3,4.13
3/10/2018 4:12:59,4,87,1,4.12
3/10/2018 4:13:20,4,88,1,4.12
3/10/2018 4:51:32,4,89,3,4.12
3/10/2018 4:52:09,4,90,1,4.12
3/10/2018 5:09:56,4,91,6,4.12
3/10/2018 5:10:33,4,92,5,4.12
3/10/2018 5:10:57,4,93,2,4.12
