MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
1/31/2020 12:26:41,0,4.18,1,FED,Left,0,0,1,9
1/31/2020 12:38:08,0,4.18,1,FED,Left,0,0,2,7
1/31/2020 12:41:03,0,4.18,1,FED,Left,0,0,3,171
1/31/2020 12:46:48,0,4.18,1,FED,Left,0,0,4,13
1/31/2020 13:01:21,0,4.17,1,FED,Left,0,0,5,6
1/31/2020 13:06:43,0,4.17,1,FED,Left,0,0,6,202
1/31/2020 13:16:05,0,4.17,1,FED,Left,0,0,7,129
1/31/2020 13:24:53,0,4.17,1,FED,Left,0,0,8,522
1/31/2020 13:46:52,0,4.16,2,FED,Left,0,0,10,51
1/31/2020 13:53:17,0,4.17,1,FED,Left,0,0,11,30
1/31/2020 13:54:17,0,4.17,1,FED,Left,0,0,12,56
1/31/2020 14:20:12,0,4.16,1,FED,Left,0,0,13,418
1/31/2020 14:34:23,0,4.16,1,FED,Left,0,0,14,847
1/31/2020 14:35:06,0,4.16,1,FED,Left,0,0,15,39
1/31/2020 15:21:22,0,4.16,1,FED,Left,0,0,16,2353
1/31/2020 15:21:58,0,4.16,1,FED,Left,0,0,17,32
1/31/2020 15:22:34,0,4.16,1,FED,Left,0,0,18,32
1/31/2020 15:26:36,0,4.15,1,FED,Left,0,0,19,26
1/31/2020 15:28:33,0,4.15,1,FED,Left,0,0,20,46
1/31/2020 15:28:53,0,4.16,1,FED,Left,0,0,21,16
