MM:DD:YYYY hh:mm:ss, Mouse, PelletCount, MotorTurns, BatteryVoltage
3/9/2018 16:37:44,1,1,3,4.23
3/9/2018 17:08:34,1,2,6,4.23
3/9/2018 17:16:27,1,3,1,4.23
3/9/2018 17:16:47,1,4,1,4.22
3/9/2018 17:26:25,1,5,2,4.22
3/9/2018 17:26:52,1,6,2,4.23
3/9/2018 17:41:02,1,7,1,4.22
3/9/2018 17:41:24,1,8,1,4.22
3/9/2018 17:41:46,1,9,1,4.22
3/9/2018 17:42:22,1,10,4,4.22
3/9/2018 17:51:20,1,11,2,4.22
3/9/2018 18:37:09,1,12,3,4.22
3/9/2018 18:37:35,1,13,3,4.22
3/9/2018 18:38:29,1,14,2,4.22
3/9/2018 18:52:30,1,15,2,4.22
3/9/2018 18:55:20,1,16,1,4.22
3/9/2018 19:13:22,1,17,2,4.22
3/9/2018 19:14:50,1,18,5,4.22
3/9/2018 19:15:30,1,19,6,4.22
3/9/2018 19:16:04,1,20,1,4.22
3/9/2018 19:17:04,1,21,2,4.22
3/9/2018 19:26:30,1,22,1,4.22
3/9/2018 19:29:55,1,23,1,4.22
3/9/2018 19:39:11,1,24,5,4.22
3/9/2018 19:52:12,1,25,1,4.21
3/9/2018 19:52:31,1,26,1,4.22
3/9/2018 20:05:17,1,27,5,4.22
3/9/2018 20:05:45,1,28,3,4.22
3/9/2018 20:15:45,1,29,1,4.22
3/9/2018 20:16:05,1,30,1,4.22
3/9/2018 20:24:07,1,31,2,4.21
3/9/2018 20:24:34,1,32,1,4.22
3/9/2018 20:28:15,1,33,2,4.22
3/9/2018 20:31:47,1,34,2,4.22
3/9/2018 20:40:00,1,35,1,4.22
3/9/2018 20:40:37,1,36,3,4.21
3/9/2018 20:41:00,1,37,1,4.22
3/9/2018 20:56:08,1,38,90,4.21
3/9/2018 22:33:22,1,39,1260,4.18
3/9/2018 23:50:23,1,40,1050,4.15
3/10/2018 0:15:45,1,41,350,4.14
3/10/2018 3:02:17,1,42,2280,4.09
3/10/2018 5:52:16,1,43,2320,4.07
3/10/2018 12:25:07,1,44,5370,4.05
3/10/2018 13:11:20,1,45,10,4.05
3/10/2018 13:12:40,1,46,3,4.05
3/10/2018 13:13:16,1,47,2,4.05
3/10/2018 13:14:04,1,48,10,4.05
3/10/2018 13:14:33,1,49,2,4.05
3/10/2018 13:15:12,1,50,3,4.05
3/10/2018 13:15:45,1,51,3,4.05
3/10/2018 13:17:24,1,52,1,4.05
3/10/2018 13:17:50,1,53,2,4.05
3/10/2018 13:19:39,1,54,3,4.05
3/10/2018 13:26:35,1,55,1,4.05
3/10/2018 13:27:00,1,56,3,4.05
3/10/2018 13:28:09,1,57,5,4.05
3/10/2018 13:28:36,1,58,1,4.05
3/10/2018 13:29:04,1,59,3,4.05
3/10/2018 15:54:30,1,60,3,4.05
3/10/2018 15:55:04,1,61,1,4.05
3/10/2018 15:55:27,1,62,2,4.05
3/10/2018 15:55:53,1,63,1,4.05
3/10/2018 15:56:15,1,64,1,4.05
3/10/2018 15:57:01,1,65,2,4.05
3/10/2018 15:57:52,1,66,1,4.05
3/10/2018 15:58:26,1,67,5,4.05
3/10/2018 15:58:58,1,68,4,4.05
3/10/2018 16:00:26,1,69,1,4.05
3/10/2018 16:00:52,1,70,3,4.05
3/10/2018 16:01:16,1,71,2,4.05
3/10/2018 16:01:57,1,72,4,4.05
3/10/2018 16:07:33,1,73,10,4.05
3/10/2018 16:08:03,1,74,2,4.05
3/10/2018 16:08:42,1,75,2,4.04
3/10/2018 17:31:32,1,76,2,4.05
3/10/2018 17:32:14,1,77,2,4.05
3/10/2018 17:32:40,1,78,1,4.04
3/10/2018 17:33:40,1,79,3,4.05
3/10/2018 17:34:07,1,80,1,4.05
3/10/2018 18:20:45,1,81,3,4.05
3/10/2018 18:21:15,1,82,3,4.04
3/10/2018 18:21:47,1,83,2,4.04
3/10/2018 18:50:19,1,84,4,4.04
3/10/2018 18:50:49,1,85,3,4.05
3/10/2018 18:51:26,1,86,4,4.05
3/10/2018 18:51:54,1,87,1,4.04
3/10/2018 18:56:39,1,88,3,4.05
3/10/2018 18:59:28,1,89,2,4.05
3/10/2018 18:59:53,1,90,1,4.05
3/10/2018 19:11:02,1,91,1,4.04
3/10/2018 19:11:34,1,92,3,4.05
3/10/2018 19:17:12,1,93,6,4.04
3/10/2018 19:17:35,1,94,1,4.04
3/10/2018 19:18:02,1,95,3,4.05
3/10/2018 19:20:57,1,96,3,4.05
3/10/2018 19:26:19,1,97,2,4.04
3/10/2018 19:26:41,1,98,1,4.05
3/10/2018 19:36:56,1,99,4,4.05
3/10/2018 19:37:27,1,100,3,4.04
3/10/2018 19:38:22,1,101,2,4.05
3/10/2018 20:04:45,1,102,10,4.05
3/10/2018 20:05:16,1,103,3,4.04
3/10/2018 20:05:47,1,104,2,4.05
3/10/2018 20:06:23,1,105,2,4.05
3/10/2018 20:09:49,1,106,10,4.05
3/10/2018 20:11:55,1,107,1,4.05
3/10/2018 20:12:20,1,108,3,4.04
3/10/2018 20:12:51,1,109,4,4.05
3/10/2018 20:13:17,1,110,3,4.04
3/10/2018 20:13:51,1,111,2,4.05
3/10/2018 20:16:56,1,112,2,4.04
3/10/2018 20:27:26,1,113,3,4.04
3/10/2018 20:27:56,1,114,4,4.04
3/10/2018 20:31:38,1,115,2,4.04
3/10/2018 20:33:20,1,116,1,4.05
3/10/2018 20:45:41,1,117,5,4.05
3/10/2018 20:46:09,1,118,3,4.04
3/10/2018 20:46:35,1,119,1,4.04
3/10/2018 20:52:03,1,120,1,4.05
3/10/2018 21:04:18,1,121,3,4.04
3/10/2018 21:04:47,1,122,4,4.04
3/10/2018 21:05:18,1,123,3,4.05
3/10/2018 21:05:53,1,124,2,4.05
